,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,32,103,154,154,181,245,233,203,141,109,87,75,65,58,42,21,10,0,0,32.0,16.0
0,6,0,0,0,0,25,86,262,451,547,636,896,961,929,875,833,864,931,877,673,479,298,106,56,89.0,37.0
0,96,40,18,7,7,11,42,285,689,1065,1555,2080,2376,2335,2109,1920,1838,1684,1466,1238,915,603,335,203,240.0,132.0
0,0,7,46,46,23,23,23,23,23,66,151,179,186,191,214,238,214,128,87,82,73,29,32,24,315.0,162.0
0,0,0,0,0,0,0,0,46,105,115,103,115,154,169,134,131,85,69,73,101,40,0,0,0,405.0,201.0
0,667,331,149,66,3,3,167,346,873,1679,2557,3565,4654,4909,4620,4262,4232,4508,4599,4279,3514,2648,1691,1004,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,101,69,48,30,3,29,157,271,636,891,1227,1483,1431,1394,1209,1106,929,843,758,673,524,317,248,157,656.0,336.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.0,426.0
0,28,22,22,25,35,42,104,251,347,344,325,336,332,327,313,295,276,232,177,105,71,65,76,73,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,693,439,182,69,42,36,59,226,765,1140,1716,2744,3288,3511,3408,3108,2901,3079,2994,2853,2335,1820,1347,917,1011.0,538.0
0,117,0,0,0,0,124,346,434,1171,2482,3520,4136,4148,3836,3486,2985,2896,3491,3683,3309,2463,1560,896,424,1024.0,544.0
0,3,3,3,3,3,25,70,105,231,462,537,599,574,595,511,382,264,218,176,122,97,57,22,3,1047.0,555.0
0,0,0,0,0,0,0,25,71,409,717,902,985,1048,981,749,529,345,224,130,72,28,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,51,200,339,349,317,295,276,226,150,77,30,0,0,0,0,0,0,1864.0,1123.0
0,53,0,0,0,0,9,92,234,972,1320,1394,1449,1480,1399,1227,1051,922,853,750,586,399,231,154,79,1871.0,1126.0
0,0,0,0,0,0,20,58,176,378,677,773,644,496,461,416,347,278,217,98,75,51,21,0,0,1873.0,1127.0
0,3,3,0,0,3,3,33,62,179,850,894,913,905,827,702,554,396,220,134,79,29,9,3,3,1875.0,1128.0
0,6,0,0,0,0,0,0,0,257,465,579,654,774,767,683,573,500,490,453,403,297,174,87,30,1879.0,1131.0
0,0,0,0,0,0,0,0,76,254,560,572,575,514,435,342,291,272,216,207,164,101,50,21,6,1882.0,1133.0
0,756,264,56,49,30,51,168,909,3065,5479,8205,9607,9825,9762,9516,8781,7476,7065,6257,5521,4305,3312,2503,1626,2327.0,1453.0
0,0,0,0,0,0,0,0,46,201,291,388,315,227,187,178,168,147,104,47,1,0,0,0,0,2703.0,1559.0
0,52,44,40,36,13,20,35,58,92,124,148,158,157,140,115,84,59,43,36,29,32,36,44,55,3832.0,1880.0
0,4,2,2,2,2,2,68,141,211,551,571,550,544,532,411,359,367,214,159,116,89,47,9,7,3890.0,1917.0
0,658,216,34,27,30,50,178,729,2421,4751,7348,8763,9159,9207,9088,8452,7286,6742,5733,4868,3675,2773,2167,1444,3893.0,1920.0
0,24,4,4,4,4,4,115,426,783,1230,1251,1474,1396,1250,1023,835,946,1076,1131,962,596,253,78,51,4229.0,2197.0
0,3,3,3,3,3,37,110,169,293,657,630,581,482,356,271,234,237,208,186,172,124,69,34,4,4842.0,2543.0
0,0,0,0,0,0,0,0,58,48,36,63,52,22,11,0,0,0,0,0,0,0,0,0,0,5071.0,2643.0
0,96,40,18,7,7,11,42,257,662,1077,1612,2287,2621,2561,2303,2113,2046,1890,1600,1344,1043,734,413,203,5136.0,2672.0
0,0,0,0,0,0,0,0,0,47,229,222,162,68,48,28,11,0,0,0,0,0,0,0,0,5183.0,2689.0
0,898,420,35,23,34,35,137,320,777,1474,2511,4195,5244,5745,5539,5055,4538,4496,4268,3906,3273,2783,2389,1754,5266.0,2747.0
0,0,0,0,0,0,0,0,0,0,16,26,36,53,66,80,83,80,70,66,96,100,46,13,0,5595.0,2940.0
0,9,9,0,9,9,9,45,86,208,490,534,491,467,449,358,293,230,195,123,82,42,9,9,9,5613.0,2950.0
0,107,36,8,8,8,15,44,228,616,1414,2122,2363,2485,2488,2409,2143,1986,2119,2100,1820,1412,884,477,271,5643.0,2973.0
0,0,0,0,0,0,1,27,65,127,293,419,516,545,509,451,435,481,527,491,398,283,182,78,0,5784.0,3059.0
0,13,11,9,11,13,46,68,78,191,730,891,937,884,813,738,624,529,485,450,352,213,95,25,20,5904.0,3132.0
0,316,149,84,53,34,86,240,457,824,1280,1583,1822,1724,1464,1242,979,928,1070,1221,1285,1202,910,595,415,6075.0,3266.0
0,226,109,55,38,45,42,116,309,581,1124,1462,1833,2095,2166,2010,1837,1835,1815,1627,1440,1234,927,549,372,6081.0,3270.0
0,0,0,0,0,0,0,0,0,170,222,237,222,176,153,125,93,56,27,0,0,0,0,0,0,6085.0,3274.0
0,0,0,0,0,0,0,2,8,16,52,61,65,96,98,97,95,88,68,43,22,13,6,0,0,6087.0,3276.0
0,1372,609,125,79,87,78,174,541,1092,2311,3501,5185,6402,6915,7072,7090,7365,7945,8120,7797,6801,5633,4304,2886,6114.0,3290.0
0,0,0,0,0,0,0,0,0,114,144,140,162,164,167,150,132,123,231,262,252,191,96,11,0,6198.0,3341.0
0,129,66,41,30,30,39,287,501,1161,1613,1813,1943,2025,1885,1660,1439,1302,1429,1528,1373,1077,702,374,152,6270.0,3392.0
0,14,12,17,34,72,203,294,321,368,387,454,499,501,467,439,412,360,301,234,168,89,53,28,18,6272.0,3393.0
0,15,13,21,44,84,210,298,319,359,376,441,485,499,467,445,436,407,368,302,221,128,77,29,19,6278.0,3399.0
0,51,33,21,44,84,206,217,224,235,266,368,473,518,498,450,467,431,376,338,321,275,209,138,79,6279.0,3400.0
0,209,94,48,35,24,28,41,131,310,552,698,991,1171,1194,1222,1270,1377,1509,1461,1374,1205,956,661,437,6293.0,3408.0
0,794,325,48,13,10,26,232,303,954,1910,2269,2543,2714,2722,2552,2193,2179,2397,2427,2277,2051,1921,1776,1515,6295.0,3409.0
0,5,0,0,0,0,0,0,0,350,687,1026,1184,1336,1466,1411,1240,1092,1056,1020,766,375,165,48,12,6298.0,3411.0
0,7,1,1,1,1,9,46,220,547,850,1436,1565,1490,1369,1248,1181,1162,1126,1022,658,362,174,50,22,6300.0,3413.0
0,0,0,0,0,0,0,47,80,163,360,490,568,536,452,365,352,390,373,363,284,168,69,3,0,6410.0,3496.0
0,0,0,0,0,0,0,3,17,183,505,925,1159,1197,1193,1043,770,714,711,596,432,221,106,32,5,6467.0,3535.0
0,2,0,0,0,0,0,45,73,223,569,795,952,889,837,737,642,584,613,634,560,390,217,77,11,6468.0,3536.0
0,1,1,1,1,10,35,186,425,978,1689,1930,1978,1950,1778,1508,1366,1446,1447,1335,1166,745,326,80,15,6469.0,3537.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.0,3591.0
0,623,251,55,24,5,64,205,670,2022,3651,6936,9996,11470,12078,12189,11829,11114,10420,8989,7400,5555,3837,2345,1274,6607.0,3630.0
0,0,0,0,0,0,0,156,222,535,1259,1464,1790,1805,1542,1353,1191,1131,1240,1210,1032,685,290,47,0,6638.0,3650.0
0,4,0,0,0,2,18,51,95,292,883,1067,1117,1112,1005,878,818,891,1032,1017,739,405,201,87,29,6787.0,3750.0
0,236,74,8,4,4,6,91,318,601,802,1022,1572,1877,2035,2064,2042,2048,2335,2479,2409,2201,1790,1270,615,6829.0,3776.0
0,80,33,30,29,27,33,46,285,624,1085,1646,2019,2255,2429,2376,2331,2207,2247,2196,1964,1401,805,397,155,6844.0,3789.0
0,5,0,0,0,0,10,26,214,493,1115,1895,2191,2303,2241,2008,1737,1529,1309,968,575,276,95,37,21,7015.0,3911.0
0,25,6,5,5,7,41,163,500,1240,2273,3417,4354,4892,4972,4610,3980,3468,3037,2619,1823,1023,515,219,108,7051.0,3930.0
0,0,0,0,0,0,0,0,0,170,248,421,476,570,583,493,393,327,258,174,62,28,11,0,0,7060.0,3935.0
0,1010,449,59,2,2,7,188,602,1591,3444,4494,5972,6471,6117,5545,5076,5019,5479,5835,5544,4461,3100,2058,1470,7086.0,3957.0
0,1,0,0,0,0,0,90,192,565,647,646,696,786,758,688,528,374,306,239,245,184,99,30,14,7087.0,3958.0
0,6,6,6,6,13,29,127,382,836,1497,1857,1992,1967,1873,1658,1335,928,734,512,380,278,181,90,48,7088.0,3959.0
0,1,1,1,1,1,1,11,25,172,458,486,432,369,305,256,199,145,84,59,40,25,14,7,3,7089.0,3960.0
0,592,207,28,2,2,23,160,404,966,2308,2916,3244,3329,3201,2896,2586,2369,2474,2531,2424,2064,1718,1400,971,7129.0,3990.0
0,171,48,5,5,5,6,28,153,512,719,970,1253,1264,1329,1300,1278,1259,1278,1234,1194,1080,870,601,349,7257.0,4073.0
0,205,70,12,12,5,4,25,181,683,1032,1395,1859,2023,2076,1907,1709,1599,1658,1677,1650,1474,1083,812,468,7273.0,4087.0
0,1,0,0,0,0,0,0,23,35,205,189,268,299,230,147,92,92,133,134,80,40,18,6,1,7389.0,4148.0
0,682,356,159,98,87,79,74,230,646,1214,1468,1953,2247,2095,2054,2239,2675,2934,2805,2633,2491,2253,1884,1287,7436.0,4179.0
0,42,19,1,1,2,18,62,204,502,910,1234,1414,1314,1165,1019,873,887,931,792,546,376,280,175,95,7485.0,4217.0
0,0,0,0,0,0,0,0,0,0,351,370,305,294,299,248,191,152,165,162,152,125,93,67,1,7486.0,4218.0
0,4,0,4,0,6,107,290,410,615,853,1058,1161,1100,1067,1031,940,856,919,870,676,464,285,162,76,7487.0,4219.0
0,31,21,30,30,3,20,56,156,194,387,332,417,476,518,446,361,357,449,482,452,374,259,148,66,7488.0,4220.0
0,25,30,40,49,37,46,113,227,549,604,774,722,658,600,540,472,435,423,407,343,245,123,37,22,7489.0,4221.0
0,0,0,0,0,23,41,115,245,928,1815,2113,2318,2288,2048,1750,1612,1544,1495,1285,911,467,165,37,8,7491.0,4222.0
0,7,0,0,0,0,0,0,0,0,0,0,75,111,101,92,113,152,188,200,178,134,86,47,23,7492.0,4223.0
0,326,142,49,2,6,6,201,251,454,1233,1550,1716,1763,1804,1810,1925,1900,1768,1662,1470,1116,825,712,540,7493.0,4224.0
0,0,0,0,0,0,0,0,0,0,8,16,39,52,50,40,46,73,98,100,76,43,18,6,1,7496.0,4226.0
0,3,1,1,1,1,1,9,34,64,86,95,122,141,151,144,126,123,136,120,91,67,40,19,6,7497.0,4227.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7518.0,4242.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7555.0,4271.0
0,45,11,8,8,38,79,157,248,377,615,672,609,600,583,536,504,561,623,669,622,506,341,168,96,7571.0,4284.0
0,45,11,8,8,38,79,132,209,318,546,601,545,541,535,491,455,499,550,611,592,479,304,152,96,7572.0,4285.0
0,0,0,0,0,0,0,0,0,0,0,40,53,64,85,100,77,33,9,0,0,0,0,0,0,7626.0,4321.0
0,372,244,96,4,4,4,53,152,437,960,1237,1515,1732,1740,1607,1424,1370,1419,1386,1344,1226,951,677,490,7682.0,4355.0
0,70,64,58,52,14,8,170,254,273,325,359,342,294,263,274,292,329,275,223,170,139,136,112,101,7699.0,4367.0
0,0,0,0,0,0,11,22,44,55,77,88,100,88,77,66,44,33,22,11,11,22,44,33,11,7789.0,4429.0
