,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,20,43,92,138,161,178,239,209,163,151,178,222,213,119,47,10,0,0,0,32.0,16.0
0,1,0,0,0,0,25,65,128,283,387,432,544,513,441,428,508,644,768,725,551,337,144,53,22,89.0,37.0
0,49,7,8,8,36,135,227,549,695,779,1113,1439,1502,1479,1472,1484,1626,1863,1694,1326,850,494,269,145,240.0,132.0
0,30,30,30,15,15,23,32,25,17,47,136,190,162,137,165,199,236,216,178,112,70,39,15,2,315.0,162.0
0,0,0,0,0,0,0,11,101,126,139,144,148,146,139,140,153,143,109,79,51,14,0,0,0,405.0,201.0
0,263,128,64,30,37,73,414,668,1197,1758,2201,3165,3619,3325,3113,3213,3513,4011,4324,4004,3031,1921,958,552,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,4,3,3,3,3,62,188,227,320,572,699,1130,1145,1004,988,1144,1288,1266,982,706,487,296,152,45,656.0,336.0
0,0,0,0,0,0,0,0,0,62,224,186,178,209,210,190,184,142,27,0,0,0,0,0,0,823.0,426.0
0,28,31,35,35,35,135,266,272,260,225,243,253,278,286,282,315,371,345,243,157,110,82,74,54,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,152,94,56,36,16,174,274,632,1078,1199,1621,2721,2944,2635,2310,2307,2691,3247,3093,2604,1910,1386,847,481,1011.0,538.0
0,40,0,0,0,0,127,245,613,1319,2064,2759,3339,3287,3003,2798,2829,3095,3344,3061,2433,1600,792,346,162,1024.0,544.0
0,3,3,3,3,3,66,109,151,291,537,576,592,596,581,545,549,620,617,397,211,125,65,34,9,1047.0,555.0
0,0,0,0,0,0,0,25,117,278,710,825,861,867,854,836,772,617,433,176,86,28,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,183,274,354,372,374,360,336,302,260,208,124,79,42,0,0,0,0,1864.0,1123.0
0,23,0,0,0,0,27,162,326,580,836,913,1047,1003,975,996,1089,1174,1111,879,555,253,122,66,34,1871.0,1126.0
0,0,0,0,0,0,67,148,220,514,625,663,658,673,696,692,578,434,269,197,136,92,18,0,0,1873.0,1127.0
0,3,0,0,3,3,3,51,141,149,565,608,615,622,632,624,584,511,379,228,113,34,9,3,3,1875.0,1128.0
0,0,0,0,0,0,5,0,2,212,491,478,635,663,611,575,598,636,613,493,263,150,68,27,9,1879.0,1131.0
0,0,0,0,1,2,23,106,448,704,969,997,1066,1139,1124,916,664,484,396,298,195,79,35,9,1,1882.0,1133.0
0,191,75,50,50,93,455,1190,1925,3210,4486,6788,8363,8510,7960,7417,7520,8121,8546,7463,5393,3410,2049,1133,591,2327.0,1453.0
0,0,0,0,0,0,0,76,157,235,221,335,350,311,301,342,349,317,221,90,8,0,0,0,0,2703.0,1559.0
0,59,55,44,36,47,88,125,137,135,136,169,229,251,216,183,151,117,89,64,54,47,48,48,44,3832.0,1880.0
0,0,0,0,3,19,121,267,268,816,1122,1295,1358,1427,1347,1147,957,692,459,254,148,110,78,30,9,3890.0,1917.0
0,180,56,28,28,71,426,1146,1715,2764,4095,6286,7738,7945,7505,7189,7356,7823,8127,7085,5087,3202,1852,1020,520,3893.0,1920.0
0,5,4,4,4,4,34,147,373,704,786,992,1280,1071,962,931,791,871,935,919,672,396,135,60,26,4229.0,2197.0
0,3,3,3,3,3,92,186,312,374,478,549,700,707,632,589,540,468,376,273,185,117,51,4,4,4842.0,2543.0
0,0,0,0,0,0,0,93,224,609,714,744,774,782,731,683,502,205,22,0,0,0,0,0,0,5071.0,2643.0
0,48,7,7,7,17,108,201,451,627,696,1096,1541,1607,1555,1513,1528,1719,1958,1735,1405,978,572,289,144,5136.0,2672.0
0,0,0,0,0,0,0,0,114,336,432,485,479,418,402,417,332,143,0,0,0,0,0,0,0,5183.0,2689.0
0,264,124,24,24,49,191,832,1516,3289,4991,6281,8316,8267,7461,6947,6579,6209,5038,4074,3097,2270,1480,965,694,5266.0,2747.0
