,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,32,69,158,168,171,191,297,272,229,203,210,209,192,155,61,22,0,0,0,32.0,16.0
0,1,0,0,0,0,58,98,176,351,429,453,616,666,563,558,645,744,881,904,775,536,285,95,57,89.0,37.0
0,66,18,8,8,27,117,231,459,658,928,1353,1766,1896,1857,1759,1737,1749,1801,1696,1491,1043,626,334,181,240.0,132.0
0,0,0,0,0,0,0,0,0,0,25,99,163,224,257,292,295,282,253,217,162,115,71,33,6,315.0,162.0
0,0,0,0,0,0,0,19,77,110,175,184,168,148,147,167,200,184,151,135,106,54,0,0,0,405.0,201.0
0,310,170,71,31,24,35,439,797,1151,1658,2353,3710,4327,4013,3605,3434,3663,4170,4489,4227,3589,2738,1788,1095,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,10,3,2,2,3,51,197,308,575,923,1146,1362,1326,1307,1323,1372,1330,1252,1121,838,511,288,221,158,656.0,336.0
0,0,0,0,0,0,0,0,0,75,259,223,202,199,193,239,163,87,0,0,0,0,0,0,0,823.0,426.0
0,38,25,22,22,45,152,304,310,254,259,327,382,417,402,396,408,429,337,242,180,140,136,109,64,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,255,142,60,24,35,131,212,589,1089,1423,2027,3259,3440,3067,2696,2561,2755,3198,3211,2899,2552,2007,1458,1014,1011.0,538.0
0,45,0,0,0,0,180,435,800,1527,2188,2867,3759,3946,3704,3255,3104,3198,3653,3692,3193,2403,1617,929,397,1024.0,544.0
0,3,3,3,3,12,60,126,227,333,513,622,643,607,543,510,508,471,414,383,267,195,112,52,24,1047.0,555.0
0,0,0,0,0,0,0,40,179,365,828,874,878,864,910,936,852,620,367,165,77,31,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,187,270,395,436,432,399,382,366,315,221,91,0,0,0,0,0,0,1864.0,1123.0
