,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,54,34,26,30,34,64,138,375,1277,1962,2242,2566,2644,2566,2390,2100,1656,1084,898,772,585,390,190,100,6293.0,3408.0
0,82,35,3,3,15,105,281,473,1453,1942,2137,2266,2334,2436,2391,2072,1869,1688,1584,1351,885,554,388,265,6295.0,3409.0
0,1,0,0,0,0,0,0,69,326,503,639,747,764,709,657,640,628,606,522,351,161,52,17,5,6298.0,3411.0
0,1,1,1,1,4,81,167,448,972,1178,1657,1812,1736,1577,1434,1336,1281,1071,816,513,242,109,17,5,6300.0,3413.0
0,0,0,0,0,0,0,11,81,252,287,314,461,413,289,263,294,341,306,151,91,39,10,0,0,6410.0,3496.0
0,0,0,0,0,0,0,1,69,330,484,709,905,1017,1037,942,912,838,681,440,267,152,35,6,1,6467.0,3535.0
0,0,0,0,0,0,0,18,26,164,325,562,790,785,612,519,672,669,628,492,347,193,68,0,0,6468.0,3536.0
0,2,2,2,16,23,152,359,563,997,1340,1700,1990,1866,1698,1666,1555,1525,1292,1047,708,350,92,4,2,6469.0,3537.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.0,3591.0
0,218,89,8,5,34,292,591,1194,2343,3630,6312,8499,8815,8354,7753,7748,8279,8703,7677,5648,3652,2142,1100,496,6607.0,3630.0
0,0,0,0,0,0,0,201,411,939,1181,1184,1558,1767,1761,1521,1247,1151,1286,1249,958,453,71,0,0,6638.0,3650.0
0,0,0,0,0,16,49,85,313,728,1108,1321,1589,1548,1375,1217,1207,1068,716,569,419,162,63,12,2,6787.0,3750.0
0,34,12,4,4,4,29,360,757,1160,1752,2224,3080,2871,2433,2101,1927,2007,2058,1879,1624,1136,631,301,109,6829.0,3776.0
0,32,37,49,24,38,185,433,651,963,1367,1952,3188,3092,2405,2087,2073,2231,2428,2149,1504,918,452,92,47,6844.0,3789.0
0,0,0,0,0,0,1,20,150,352,762,1385,1554,1517,1406,1329,1254,1163,984,670,400,137,25,11,5,7015.0,3911.0
0,13,3,5,5,17,98,216,768,1603,2195,2873,3362,3483,3281,3057,2881,2586,2320,1915,1301,640,294,104,43,7051.0,3930.0
0,0,0,0,0,0,0,0,54,441,492,529,530,488,445,487,515,452,364,271,149,48,14,0,0,7060.0,3935.0
0,270,103,33,2,2,81,350,649,1480,2411,2945,4057,4491,4200,3758,3582,3835,4357,4570,4085,2899,1636,785,430,7086.0,3957.0
0,1,0,0,0,0,1,62,149,398,436,483,575,677,589,497,456,425,429,365,257,98,42,11,5,7087.0,3958.0
0,6,2,9,14,31,79,174,592,975,1275,1440,1640,1645,1552,1438,1358,1256,1078,813,535,251,91,25,6,7088.0,3959.0
0,1,1,1,1,1,2,11,73,195,425,469,518,494,424,453,445,345,271,206,113,37,9,1,1,7089.0,3960.0
0,53,17,3,3,7,89,212,628,1694,2527,3076,3421,3385,3274,3240,3019,2684,2305,2198,1702,1026,575,211,88,7129.0,3990.0
0,34,16,4,4,12,172,586,917,997,1392,1950,3024,2987,2350,1992,1852,1978,2053,1772,1328,878,582,283,113,7257.0,4073.0
0,46,23,11,7,6,138,508,970,1256,1673,2319,3726,3724,2946,2403,2190,2311,2510,2256,1673,1024,566,254,103,7273.0,4087.0
0,0,0,0,0,0,0,2,36,162,200,191,261,282,276,299,251,308,327,251,145,38,14,4,0,7389.0,4148.0
0,180,114,91,64,98,275,832,1206,1905,2893,3484,4582,4504,3784,3338,3187,3423,3685,3339,2287,1425,1077,654,303,7436.0,4179.0
0,16,4,0,0,1,14,61,146,406,659,962,1176,1217,1159,1162,1231,1195,896,585,402,241,141,73,27,7485.0,4217.0
0,0,0,0,0,0,80,35,272,699,1018,1086,1124,1086,1073,1030,784,545,310,224,118,41,20,7,0,7486.0,4218.0
0,8,4,0,4,38,117,206,414,424,625,734,801,793,747,681,630,637,587,503,374,220,84,12,0,7487.0,4219.0
0,30,39,39,48,75,129,211,231,249,446,426,483,450,420,405,420,428,374,332,264,162,105,55,21,7488.0,4220.0
0,44,44,49,54,51,189,282,280,523,532,618,688,684,699,644,646,756,702,489,308,153,73,29,25,7489.0,4221.0
0,0,0,0,0,34,90,132,253,603,1204,1690,2176,2045,1825,1760,1886,1768,1447,961,584,235,65,18,4,7491.0,4222.0
0,0,0,0,0,0,0,0,0,46,51,46,114,122,103,85,94,122,126,126,106,76,42,17,4,7492.0,4223.0
0,59,26,15,6,6,39,129,196,822,1216,1414,1742,1819,1757,1694,1769,1794,1630,1379,1067,700,376,177,128,7493.0,4224.0
0,0,0,0,0,0,0,0,9,79,113,123,209,202,143,115,109,100,84,79,55,27,11,2,0,7496.0,4226.0
0,1,1,1,1,1,4,23,66,102,116,107,122,115,103,100,109,121,122,110,89,62,36,17,4,7497.0,4227.0
