,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,20,30,40,66,67,72,101,105,66,63,124,140,118,74,33,9,0,0,0,32.0,16.0
0,3,0,0,0,0,0,27,59,168,237,285,440,425,399,428,501,574,542,397,227,130,62,38,21,89.0,37.0
0,37,8,8,8,20,94,189,439,593,711,1094,1454,1527,1487,1434,1492,1613,1666,1526,1165,708,351,147,85,240.0,132.0
0,23,23,23,23,23,23,15,7,0,9,58,121,152,164,153,171,187,195,173,132,80,40,16,16,315.0,162.0
0,0,0,0,0,0,0,38,106,103,102,115,119,129,130,118,139,121,93,76,40,9,0,0,0,405.0,201.0
0,192,89,45,21,8,18,273,550,911,1281,1766,2716,3159,2994,2763,2864,3098,3496,3533,2996,2068,1283,691,401,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,3,2,2,2,3,37,172,220,352,641,812,1125,1066,992,983,1025,1060,1081,854,596,389,273,155,54,656.0,336.0
0,0,0,0,0,0,0,0,0,58,170,213,224,202,200,202,177,108,0,0,0,0,0,0,0,823.0,426.0
0,28,25,25,32,48,127,236,206,209,249,251,226,260,299,333,351,366,345,261,180,143,115,76,60,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,170,77,29,24,24,123,192,468,859,1083,1520,2346,2537,2370,2100,2000,2105,2259,2090,1630,1174,754,446,264,1011.0,538.0
0,2,0,0,0,0,102,248,640,1358,1734,2338,2846,2767,2512,2266,2098,2061,2202,2126,1702,1051,514,165,74,1024.0,544.0
0,3,3,3,3,3,44,69,161,223,411,452,460,467,472,448,426,396,384,318,202,99,38,10,3,1047.0,555.0
0,0,0,0,0,0,0,24,107,329,756,887,956,986,936,844,734,587,367,127,52,18,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,177,268,357,383,403,399,379,328,251,172,112,78,45,0,0,0,0,1864.0,1123.0
0,4,0,0,0,0,0,97,289,553,813,912,1123,1177,1131,1044,1070,1070,955,705,372,149,45,21,28,1871.0,1126.0
0,0,0,0,0,0,56,69,174,566,679,697,669,624,655,654,485,371,301,211,132,46,2,0,0,1873.0,1127.0
0,0,3,0,0,3,36,69,154,175,637,691,720,681,658,676,671,585,428,258,117,26,13,3,3,1875.0,1128.0
0,0,0,0,0,0,2,0,2,230,503,549,658,673,618,531,515,497,443,346,198,110,35,8,3,1879.0,1131.0
0,0,0,0,0,3,24,94,380,622,910,960,957,930,897,860,724,500,312,180,120,50,22,6,1,1882.0,1133.0
0,195,95,15,25,69,374,991,1635,2698,3942,5554,6693,6744,6465,6070,5864,5979,5804,4814,3487,2173,1248,597,390,2327.0,1453.0
0,0,0,0,0,0,0,84,118,184,142,148,141,141,144,139,170,192,187,110,13,1,0,0,0,2703.0,1559.0
0,44,40,36,28,26,38,74,119,153,181,200,214,216,208,174,132,87,52,43,48,52,48,44,36,3832.0,1880.0
0,2,0,0,0,17,96,258,237,591,931,1115,1163,1122,991,873,767,668,476,311,205,90,26,11,4,3890.0,1917.0
0,194,87,15,25,47,333,889,1450,2370,3677,5305,6455,6526,6264,5963,5816,5880,5639,4662,3305,2041,1164,567,371,3893.0,1920.0
0,4,4,4,4,4,14,78,292,663,774,825,1152,1133,985,926,870,838,696,575,385,213,79,19,7,4229.0,2197.0
