,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,21,43,93,147,157,169,255,223,187,188,201,158,111,89,57,21,0,0,0,32.0,16.0
0,5,0,0,0,0,25,51,94,245,335,360,409,357,325,365,418,448,416,336,222,104,47,31,17,89.0,37.0
0,48,12,8,8,27,99,230,454,538,657,1084,1380,1447,1350,1235,1197,1310,1480,1398,1125,710,384,181,99,240.0,132.0
0,15,15,23,23,0,0,0,0,0,0,57,56,68,72,61,77,117,123,97,52,32,13,1,0,315.0,162.0
0,0,0,0,0,0,0,26,106,115,99,88,91,116,126,129,137,129,99,57,19,0,0,0,0,405.0,201.0
0,184,82,29,10,60,103,413,803,1074,1504,1960,2916,3059,2626,2346,2374,2722,3268,3487,3049,2167,1371,671,409,433.0,214.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.0,235.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,315.0
0,15,2,2,2,2,45,135,208,495,765,902,1108,1032,888,865,964,976,887,809,628,378,223,134,50,656.0,336.0
0,0,0,0,0,0,0,0,0,25,181,224,220,205,187,204,193,116,0,0,0,0,0,0,0,823.0,426.0
0,35,18,18,28,49,165,320,294,232,264,266,236,252,278,291,311,309,270,195,149,89,46,44,47,846.0,446.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.0,501.0
0,167,105,49,30,18,151,156,480,909,1143,1538,2190,2304,2150,1991,1942,2103,2404,2350,1887,1337,966,483,267,1011.0,538.0
0,23,0,0,0,0,200,289,667,1322,1832,2244,2585,2623,2306,2088,1893,1846,2464,2397,1863,1215,645,213,86,1024.0,544.0
0,3,3,3,3,6,96,129,151,258,445,449,463,454,435,414,383,363,391,309,162,82,46,30,9,1047.0,555.0
0,0,0,0,0,0,0,25,106,268,679,734,756,759,722,650,527,379,256,113,44,10,1,0,0,1052.0,558.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157.0,622.0
0,0,0,0,0,0,0,0,153,250,328,330,364,383,354,298,235,186,119,75,34,0,0,0,0,1864.0,1123.0
0,21,0,0,0,0,9,155,297,534,789,792,978,1001,901,874,973,1035,952,731,442,233,87,47,16,1871.0,1126.0
0,0,0,0,0,0,88,173,341,642,716,776,719,634,592,539,383,271,214,186,149,69,18,0,0,1873.0,1127.0
0,3,3,3,3,3,3,27,111,164,670,688,616,567,549,545,526,463,354,226,102,17,7,3,3,1875.0,1128.0
0,0,0,0,0,0,2,0,17,211,429,460,594,595,530,463,455,473,467,368,160,61,19,6,0,1879.0,1131.0
0,0,0,1,2,3,34,120,412,580,757,902,1025,984,874,762,623,472,341,222,125,35,8,2,1,1882.0,1133.0
0,227,72,46,31,51,477,1182,1903,2840,3904,6084,7439,7161,6423,5891,5894,6245,6603,5695,3985,2344,1271,623,295,2327.0,1453.0
0,0,0,0,0,0,0,37,144,255,253,243,249,274,261,219,235,232,152,69,9,1,0,0,0,2703.0,1559.0
0,32,28,25,21,46,68,96,124,144,156,181,202,204,174,147,122,95,70,51,39,40,40,40,40,3832.0,1880.0
0,2,0,0,3,16,78,184,295,843,1210,1338,1357,1335,1208,937,687,562,435,277,185,120,55,16,11,3890.0,1917.0
0,223,59,24,31,51,461,1210,1745,2405,3521,5630,6736,6486,5786,5311,5344,5756,6173,5341,3614,2070,1111,600,280,3893.0,1920.0
0,5,4,4,4,4,42,112,223,605,830,1059,1192,1054,891,884,882,926,870,775,542,281,94,46,20,4229.0,2197.0
0,3,3,3,3,4,71,141,295,399,536,582,643,588,515,462,450,401,296,256,143,66,9,4,4,4842.0,2543.0
0,0,0,0,0,0,0,51,137,573,804,716,581,521,491,444,404,221,26,0,0,0,0,0,0,5071.0,2643.0
0,47,11,7,7,19,83,204,377,461,586,1006,1356,1443,1357,1262,1243,1361,1518,1460,1194,780,424,189,96,5136.0,2672.0
0,0,0,0,0,0,0,0,113,366,471,492,477,401,350,380,320,116,0,0,0,0,0,0,0,5183.0,2689.0
0,162,89,28,2,1,200,662,1312,2941,4289,5520,7298,6991,5795,4896,4291,3829,3107,2554,1864,1188,657,373,248,5266.0,2747.0
0,0,0,0,0,0,0,0,0,0,30,40,50,53,50,43,43,53,70,63,33,10,0,0,0,5595.0,2940.0
0,9,9,9,9,9,12,76,219,295,437,474,551,560,508,435,347,299,245,162,79,31,14,9,9,5613.0,2950.0
0,41,8,2,2,8,27,66,197,703,926,1225,1333,1393,1437,1421,1347,1340,1337,1338,1257,959,477,192,126,5643.0,2973.0
0,0,0,0,0,0,31,111,145,206,461,566,616,592,616,624,590,569,500,498,450,290,115,2,0,5784.0,3059.0
0,5,5,7,9,11,64,216,456,703,1233,1479,1427,1191,1018,991,951,713,405,301,177,80,26,7,3,5904.0,3132.0
0,95,62,42,42,61,294,611,751,1005,1262,1483,1536,1557,1348,1192,1172,1161,1232,1132,962,715,459,242,130,6075.0,3266.0
0,71,47,32,26,45,60,80,157,478,1013,1226,1444,1375,1257,1160,1188,1193,1214,1021,817,588,374,204,104,6081.0,3270.0
0,0,0,0,0,0,0,0,0,308,282,273,267,267,260,231,182,129,71,57,45,0,0,0,0,6085.0,3274.0
0,0,0,0,0,0,0,57,219,480,591,712,716,680,606,509,458,441,311,202,145,93,44,14,0,6087.0,3276.0
0,247,150,78,59,60,174,735,1547,3385,5099,6224,8065,8081,6880,5872,5269,5346,5592,5203,4149,2982,1912,1042,514,6114.0,3290.0
0,0,0,0,0,0,0,2,58,334,376,352,395,347,327,363,395,398,256,237,183,91,35,0,0,6198.0,3341.0
0,40,32,18,18,30,108,402,1061,1803,2205,2453,2764,2670,2360,2044,1715,1552,1502,1360,1089,711,376,172,76,6270.0,3392.0
0,12,11,15,26,172,173,225,336,441,538,582,631,624,587,531,508,496,418,333,237,178,100,27,17,6272.0,3393.0
0,13,12,16,27,179,175,226,335,432,518,557,604,601,581,539,529,524,458,378,268,178,78,28,18,6278.0,3399.0
0,29,24,16,27,79,120,159,280,360,442,478,516,515,517,481,487,482,443,380,299,211,116,47,34,6279.0,3400.0
0,64,42,32,16,33,49,113,442,1431,1961,2097,2393,2368,2237,2073,1675,1378,1007,932,707,465,332,168,92,6293.0,3408.0
0,66,29,3,4,3,49,253,414,1388,1789,1935,2119,2160,2062,1857,1656,1546,1420,1348,1147,741,414,228,153,6295.0,3409.0
0,0,0,0,0,0,0,0,53,226,477,650,733,695,616,582,533,564,632,584,415,119,36,9,2,6298.0,3411.0
0,1,1,1,1,1,59,146,476,866,952,1340,1591,1537,1337,1215,1142,1094,950,840,533,208,63,14,5,6300.0,3413.0
0,0,0,0,0,0,0,21,98,237,249,306,422,368,275,269,311,297,226,123,72,38,24,0,0,6410.0,3496.0
0,0,0,0,0,0,0,2,115,386,461,579,707,768,721,763,747,613,480,366,264,129,41,8,1,6467.0,3535.0
0,0,0,0,0,0,0,11,57,322,520,599,673,675,637,618,656,700,726,656,410,194,38,0,0,6468.0,3536.0
0,2,2,3,15,35,139,259,504,787,1232,1475,1685,1643,1457,1293,1248,1377,1314,1066,675,321,94,14,4,6469.0,3537.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.0,3591.0
0,280,99,33,14,28,265,746,1487,2233,2905,4903,6817,7226,6801,6086,5801,6267,6958,6332,4656,2994,1727,845,435,6607.0,3630.0
0,0,0,0,0,0,0,195,446,827,1048,1156,1535,1606,1424,1218,1007,893,910,975,673,266,52,0,0,6638.0,3650.0
0,0,0,0,0,4,31,74,290,644,973,1033,1261,1328,1154,966,863,759,777,695,364,139,50,9,2,6787.0,3750.0
0,22,10,4,4,4,32,359,707,1222,1790,2113,2847,2605,2111,1749,1662,1742,1775,1598,1296,924,544,233,71,6829.0,3776.0
0,29,17,18,19,32,187,458,661,812,1247,1730,2691,2644,2047,1752,1795,1920,2045,1814,1320,797,367,99,49,6844.0,3789.0
0,0,0,0,0,0,1,18,132,270,593,1032,1153,1163,1100,1023,976,928,825,603,382,163,37,14,5,7015.0,3911.0
